Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Arara-Canindé,Ara ararauna,1,1,0.49215808510780334
Bacurau-Norte-Americano,Chordeiles minor,2,2,0.830489993095398
Baiano,Sporophila nigricollis,177,177,0.9807559847831726
Bem-Te-Vi-Pirata,Legatus leucophaius,7,7,0.7494563460350037
Bico-Chato-De-Cabeça-Cinza,Tolmomyias poliocephalus,1,1,0.46125510334968567
Black-Banded Owl,Ciccaba huhula,1,1,0.4585474729537964
Choquinha-De-Garganta-Pintada,Rhopias gularis,1,1,0.8159322738647461
Coleirinho,Sporophila caerulescens,2,2,0.8281859159469604
Curica,Amazona amazonica,1,1,0.696487545967102
Curicaca,Theristicus caudatus,7,7,0.9864041805267334
Enferrujado,Lathrotriccus euleri,1,1,0.4804687798023224
Gavião-Carijó,Rupornis magnirostris,3,3,0.6810184121131897
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,1,1,0.6404698491096497
Jacurutu,Bubo virginianus,62,62,0.9599280953407288
Juriti-Pupu,Leptotila verreauxi,1,1,0.4749394655227661
Maçarico-Pintado,Actitis macularius,1,1,0.9326942563056946
Maracanã-Do-Buriti,Orthopsittaca manilatus,1,1,0.806255578994751
Martim-Pescador-Grande,Megaceryle torquata,11,11,0.997390866279602
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.5731701850891113
Papagaio-Verdadeiro,Amazona aestiva,1,1,0.5257353782653809
Periquitão,Psittacara leucophthalmus,11,11,0.6424635648727417
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,25,25,0.9422115087509155
Picaparra,Heliornis fulica,2,2,0.5966086983680725
Pintadinho,Drymophila squamata,3,3,0.7252158522605896
Quero-Quero,Vanellus chilensis,28,28,0.9677962064743042
Quiriquiri,Falco sparverius,3,3,0.7313358783721924
Risadinha,Camptostoma obsoletum,5,5,0.8599563241004944
Saíra-Beija-Flor,Cyanerpes cyaneus,1,1,0.4667421877384186
Socó-Dorminhoco,Nycticorax nycticorax,1,1,0.9551441669464111
Tico-Tico-De-Bico-Preto,Arremon taciturnus,1,1,0.5126165151596069
Trinta-Réis-De-Bando,Thalasseus sandvicensis,5,5,0.744852602481842
Tucanuçu,Ramphastos toco,1,1,0.5809231400489807
Verdinho-Coroado,Hylophilus poicilotis,2,2,0.9472070932388306
