Nome Comum,Nome Científico,Detecções,Chamadas
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,315,315
Guaracava-De-Crista-Alaranjada,Myiopagis viridicata,1,1
Guaracava-De-Crista-Branca,Elaenia albiceps,13,13
Guaracava-De-Topete-Uniforme,Elaenia cristata,7,7
Guaracava-Grande,Elaenia spectabilis,1,1
Guaracava-Modesta,Sublegatus modestus,15,15
Guaracavuçu,Cnemotriccus fuscatus,1,1
Irré,Myiarchus swainsoni,3,3
Jacuguaçu,Penelope obscura,3,3
Jacurutu,Bubo virginianus,601,601
Jaó,Crypturellus undulatus,104,104
João-Bobo,Nystalus chacuru,1,1
João-Botina-Do-Brejo,Phacellodomus ferrugineigula,2,2
João-De-Barro,Furnarius rufus,74,74
João-Porca,Lochmias nematura,1,1
Juriti-Pupu,Leptotila verreauxi,32,32
Limpa-Folha-Do-Brejo,Syndactyla dimidiata,1,1
Limpa-Folha-Miúdo,Anabacerthia amaurotis,1,1
Limpa-Folha-Ocráceo,Anabacerthia lichtensteini,1,1
Maracanã-Do-Buriti,Orthopsittaca manilatus,6,6
Maracanã-Pequena,Diopsittaca nobilis,5,5
Maria-Cavaleira,Myiarchus ferox,19,19
Maria-Cavaleira-De-Rabo-Enferrujado,Myiarchus tyrannulus,2,2
Maria-Cavaleira-Pequena,Myiarchus tuberculifer,2,2
Martim-Pescador-Grande,Megaceryle torquata,50,50
Matracão,Batara cinerea,2,2
Maçarico-De-Perna-Amarela,Tringa flavipes,1,1
Maçarico-Galego/Maçarico-De-Bico-Torto,Numenius phaeopus,3,3
Maçarico-Grande-De-Perna-Amarela,Tringa melanoleuca,1,1
Maçarico-Pintado,Actitis macularius,29,29
Miudinho,Myiornis auricularis,3,3
Mocho-Diabo,Asio stygius,19,19
Mottled Owl,Ciccaba virgata,8,8
Murucututu,Pulsatrix perspicillata,1,1
Murucututu-De-Barriga-Amarela,Pulsatrix koeniswaldiana,6,6
Narcejão,Gallinago undulata,44,44
Negrinho-Do-Mato,Amaurospiza moesta,1,1
Neinei,Megarynchus pitangua,41,41
Olho-Falso,Hemitriccus diops,20,20
Papa-Lagarta-De-Asa-Vermelha,Coccyzus americanus,4,4
Papa-Moscas-Canela,Polystictus pectoralis,6,6
Papa-Taoca-Do-Sul,Pyriglena leucoptera,1,1
Papagaio-De-Peito-Roxo,Amazona vinacea,5,5
Papagaio-Verdadeiro,Amazona aestiva,12,12
Pardal,Passer domesticus,8,8
Patativa,Sporophila plumbea,48,48
Patinho,Platyrinchus mystaceus,9,9
Peitica,Empidonomus varius,1,1
Peitica-De-Chapéu-Preto,Empidonomus aurantioatrocristatus,1,1
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,478,478
Periquito-Rico,Brotogeris tirica,9,9
Periquitão,Psittacara leucophthalmus,19,19
Petrim,Synallaxis frontalis,97,97
Pia-Cobra-Do-Norte,Geothlypis aequinoctialis,42,42
Pica-Pau-Branco,Melanerpes candidus,4,4
Pica-Pau-De-Topete-Vermelho,Campephilus melanoleucos,1,1
Pica-Pau-Rei,Campephilus robustus,1,1
Pica-Pau-Verde-Barrado,Colaptes melanochloros,1,1
Picaparra,Heliornis fulica,6,6
Picapauzinho-Barrado,Picumnus cirratus,18,18
Picapauzinho-De-Coleira,Picumnus temminckii,4,4
Picapauzinho-Escamoso,Picumnus albosquamatus,2,2
Picapauzinho-Pintado,Picumnus pygmaeus,6,6
Pichororé,Synallaxis ruficapilla,1,1
Pintadinho,Drymophila squamata,5,5
Pipira-Vermelha,Ramphocelus carbo,4,4
Pitiguari,Cyclarhis gujanensis,52,52
Pomba-Amargosa,Patagioenas plumbea,4,4
