Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Picapauzinho-Escamoso,Picumnus albosquamatus,1,1,0.357
Picapauzinho-Pintado,Picumnus pygmaeus,1,1,0.228
Pitiguari,Cyclarhis gujanensis,41,41,0.933
Pomba-Amargosa,Patagioenas plumbea,2,2,0.23
Pomba-Asa-Branca,Patagioenas picazuro,3,3,0.321
Pula-Pula,Basileuterus culicivorus,82,82,0.965
Pula-Pula-Assobiador,Myiothlypis leucoblephara,1,1,0.229
Quero-Quero,Vanellus chilensis,12,12,0.868
Risadinha,Camptostoma obsoletum,2,2,0.598
Sabiazinho-Norte-Americano,Catharus fuscescens,1,1,0.345
Sabiá-Barranco,Turdus leucomelas,46,46,0.967
Sabiá-Laranjeira,Turdus rufiventris,3,3,0.509
Sanhaço-Cinzento,Thraupis sayaca,9,9,0.664
Sanhaço-Do-Coqueiro,Thraupis palmarum,8,8,0.708
Sanhaço-Frade,Stephanophorus diadematus,15,15,0.82
Sanhaço-Montano/De-Fogo,Piranga flava,4,4,0.628
Sanã-Parda,Laterallus melanophaius,1,1,0.232
Saracura-Sanã,Pardirallus nigricans,6,6,0.783
Saracura-Três-Potes,Aramides cajaneus,254,254,1
Saí-Andorinha,Tersina viridis,1,1,0.238
Saí-Canário,Thlypopsis sordida,4,4,0.365
Saíra-Amarela,Stilpnia cayana,4,4,0.596
Sebinho-De-Olho-De-Ouro,Hemitriccus margaritaceiventer,1,1,0.224
Serra Do Mar Tyrannulet,Phylloscartes difficilis,1,1,0.453
Suiriri,Tyrannus melancholicus,62,62,0.96
Suiriri-Valente,Tyrannus tyrannus,18,18,0.537
Tangará,Chiroxiphia caudata,3,3,0.394
Tapaculo-Preto,Scytalopus speluncae,1,1,0.716
Tauató-Miúdo,Accipiter striatus,7,7,0.628
Tem-Farinha-Aí,Myrmorchilus strigilatus,1,1,0.761
Tico-Tico,Zonotrichia capensis,2,2,0.235
Tico-Tico-De-Bico-Amarelo/De-Costas-Cinza,Arremon flavirostris,2,2,0.427
Tiriba-De-Testa-Vermelha,Pyrrhura frontalis,1,1,0.431
Tiziu,Volatinia jacarina,5,5,0.454
Tiê-De-Bando/Do-Mato-Grosso,Habia rubica,4,4,0.519
Tororó,Poecilotriccus plumbeiceps,2,2,0.263
Trepador-Quiete,Syndactyla rufosuperciliata,2,2,0.637
Trepadorzinho,Heliobletus contaminatus,1,1,0.233
Trinta-Réis-De-Bando,Thalasseus sandvicensis,3,3,0.583
Tucano-De-Bico-Preto,Ramphastos vitellinus,1,1,0.506
Tucanuçu,Ramphastos toco,15,15,0.814
Tuque-Pium,Elaenia parvirostris,1,1,0.375
Udu-De-Coroa-Azul,Momotus momota,1,1,0.32
Uru,Odontophorus capueira,1,1,0.39
Urubu-Preto,Coragyps atratus,1,1,0.206
Urutau,Nyctibius griseus,2,2,0.307
Vira-Folha/Vira-Folha-Cearense,Sclerurus scansor,1,1,0.286
Vite-Vite-De-Olho-Cinza,Hylophilus amaurocephalus,3,3,0.321
Yellow-Headed Caracara,Milvago chimachima,11,11,0.997
Águia-Pescadora,Pandion haliaetus,7,7,0.325
Águia-Serrana,Geranoaetus melanoleucus,1,1,0.315
